no,head,alink,time
1,"클로이 자오, 아시아계 여성 최초 아카데미 감독상 수상",/main/read.nhn?mode=LSD&mid=shm&sid1=103&oid=079&aid=0003496732,Mon Apr 26 14:30:24 2021
2,"자율주행차, 판교에서 달린다",/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=018&aid=0004912164,Mon Apr 26 14:30:24 2021
3,"거래소, 불법 공매도 감시 체계 본격 가동",/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=001&aid=0012353442,Mon Apr 26 14:30:24 2021
4,"홍남기 ""전자예방접종증명으로 출입국 자가격리 면제 검토""(종합)",/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=421&aid=0005312082,Mon Apr 26 14:30:24 2021
5,"추미애 ""외눈은 장애인 비하 아니다""…국어사전 펼쳐 반박",/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=008&aid=0004577952,Mon Apr 26 14:30:24 2021
