no,head,alink,time
1,"중기부 ""정부 창업예산 4년간 2배 늘어나면서 우리 창업생태계 빠르게 성장""",/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=009&aid=0004784894,Mon Apr 26 15:01:39 2021
2,"정부 '중대법 후 첫 감독' 태영건설에 ""본사 안전체계 전면재구축"" 강력권고",/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=277&aid=0004891860,Mon Apr 26 15:01:39 2021
3,5년 만에 한국인 1만명 게놈 해독 완료,/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=028&aid=0002541943,Mon Apr 26 15:01:39 2021
4,"공매도 D-7…증권가 ""두려워할 필요 없어""",/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=057&aid=0001571334,Mon Apr 26 15:01:39 2021
5,"수소 버스·트럭 특수충전소, 여수 주삼동에 설치",/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=001&aid=0012354000,Mon Apr 26 15:01:39 2021
